OBJECTID,IN_FID,2019年线上送餐快餐可达性,2019年线上送餐快餐可得性,2019年线上送餐快餐平均价格,2019年线上送餐快餐可选择性,2019年线上送餐正餐可达性,2019年线上送餐正餐可得性,2019年线上送餐正餐平均价格,2019年线上送餐正餐可选择性,2019年线下步行快餐可达性,2019年线下步行快餐可得性,2019年线下步行快餐平均价格,2019年线下步行快餐可选择性,2019年线下步行正餐可达性,2019年线下步行正餐可得性,2019年线下步行正餐平均价格,2019年线下步行正餐可选择性,2023年线上送餐快餐可达性,2023年线上送餐快餐可得性,2023年线上送餐快餐平均价格,2023年线上送餐快餐可选择性,2023年线上送餐正餐可达性,2023年线上送餐正餐可得性,2023年线上送餐正餐平均价格,2023年线上送餐正餐可选择性,2023年线下步行快餐可达性,2023年线下步行快餐可得性,2023年线下步行快餐平均价格,2023年线下步行快餐可选择性,2023年线下步行正餐可达性,2023年线下步行正餐可得性,2023年线下步行正餐平均价格,2023年线下步行正餐可选择性,2025年线上送餐快餐可达性,2025年线上送餐快餐可得性,2025年线上送餐快餐平均价格,2025年线上送餐快餐可选择性,2025年线上送餐正餐可达性,2025年线上送餐正餐可得性,2025年线上送餐正餐平均价格,2025年线上送餐正餐可选择性,2025年线下步行快餐可达性,2025年线下步行快餐可得性,2025年线下步行快餐平均价格,2025年线下步行快餐可选择性,2025年线下步行正餐可达性,2025年线下步行正餐可得性,2025年线下步行正餐平均价格,2025年线下步行正餐可选择性,Cluster,建成时长,物业费,与市中心的距离,省,城市,行政区,小区,均价,地址,lng,lat
1,1,633.9558786,0.005778548,21.02562807,6.494559713,298.5805713,0.00272673,28.86622152,7.733618748,97.34734255,0.375702717,20.55015477,5.192231119,135.9445306,0.039738301,78.51414435,8.355174634,1970.85934,0.019470712,22.82509438,7.288087985,350.0148988,0.003300081,36.18467528,10.82235948,34.51536473,0.252979742,22.41610125,6.021763179,88.84052091,0.032886873,99.12668136,7.776384855,808.5551227,0.008005359,23.26963339,7.011534606,434.5976279,0.004131386,39.67312906,9.86374287,47.33383256,0.174469677,24.78099545,6.557237779,69.03953634,0.023509681,57.3313017,9.117949043,1,48,0.5,8343.881647,浙江,杭州,上城,笕桥花苑,24874,上城 - 笕桥 - 机场路,120.216587,30.316181
2,2,1127.676348,0.006150511,21.08202597,6.285143699,567.5069801,0.003049645,31.87597647,9.849718871,130.5271001,0.01633734,22.52766027,6.58212987,188.1347594,0.008794517,80.04868421,11.4082817,2741.365775,0.015878992,22.90527038,7.258970821,568.8635362,0.003227143,29.67238195,10.1562984,119.1531276,0.015159506,21.33147626,5.569744762,168.9565216,0.007641742,76.00629264,12.16537122,1063.508533,0.006535158,23.26244274,6.939790251,641.3015853,0.003666671,44.33854113,11.02043247,93.70101604,0.011843805,23.16040561,7.006691493,136.9054884,0.006271221,92.4060338,11.81363726,1,48,0.5,6908.385529,浙江,杭州,拱墅,丝联新村,25200,"拱墅 - 拱宸桥 - 宁波路,近新昌路",120.138611,30.32277
3,3,1821.164494,0.006857004,22.31832527,6.309845646,1053.870762,0.004047815,35.99844691,10.16057106,311.442845,0.028105898,26.52653665,5.394979933,611.6050425,0.020337636,106.7955317,13.32141714,3728.695762,0.014269521,23.24855604,7.251567771,723.1819162,0.00276238,28.59501755,10.61700838,149.5798913,0.013573487,34.27646718,5.410804928,590.9512713,0.020665989,113.3112312,13.45703841,1293.599788,0.004934827,25.22515043,7.151259531,996.1656682,0.003821279,49.34821208,10.92015891,145.7851318,0.013525385,27.26292725,6.879257034,455.831173,0.015183027,114.1252198,13.06194894,1,48,0.7,1334.948668,浙江,杭州,拱墅,银杏家园,30600,拱墅 - 天水 - 百井坊巷46号,120.162157,30.269296
4,4,1859.882924,0.007528744,22.49232572,6.361454337,1070.49695,0.004376456,35.68029524,10.19224209,276.4131581,0.021393465,21.56052364,5.624709537,383.9334403,0.009771837,89.85756758,11.55443533,3904.212377,0.016068068,23.30208258,7.229488352,735.5757445,0.003001563,28.47187638,11.13557195,244.3932149,0.018461819,23.30491111,5.557349392,434.8395993,0.011197464,83.40684256,12.24240423,1392.156404,0.005726655,25.02803708,7.160740025,1047.475552,0.004286585,48.82315348,11.14532326,228.181029,0.017103323,24.76607359,6.564864593,309.0178156,0.007948025,83.28804489,12.14989994,1,48,0.5,1540.133817,浙江,杭州,上城,直大方伯小区,35000,上城 - 小营 - 直大方伯76号,120.173642,30.25665
5,5,1592.799398,0.009682311,20.72260548,6.051261048,806.6579606,0.004798788,29.57021202,9.791008514,97.69487987,0.027260131,21.13829454,5.871453252,116.8009084,0.0085506,69.7232014,10.65641045,3586.103173,0.022260127,23.13840065,7.212226212,756.5139031,0.004607541,29.67520573,10.36650969,63.8011454,0.016472221,26.21471183,4.86844065,120.0728161,0.008669831,74.41096587,11.95620434,1489.062292,0.009677835,23.03301315,6.976047871,831.3188001,0.005150459,43.30395482,10.86371044,55.43832164,0.013857929,23.2545945,6.087264429,119.9285532,0.009071263,73.85259075,10.43570961,1,43,0.5,7868.823084,浙江,杭州,拱墅,化纤新村,33103,拱墅 - 和睦 - 莫干山路760号,120.109527,30.31833
6,6,802.7330552,0.007376319,21.64863417,6.295573428,416.1733519,0.003743838,32.44462889,9.321805933,208.3046581,0.050306868,27.08870866,5.327973859,204.1537009,0.012343053,81.48271134,10.90062091,1764.229844,0.016957762,23.3799377,7.293579464,475.5521137,0.004329698,31.51553643,11.05622533,177.5065783,0.042386482,20.86825515,5.503354876,256.2917612,0.01539945,72.14938154,10.58842666,1008.71351,0.009649566,24.03914403,7.158328086,577.4045511,0.005371728,45.11014762,10.93344248,122.034127,0.029642166,25.42352712,5.84681896,197.5694242,0.011836722,74.37439099,10.4264912,1,38,0.2,13711.35124,浙江,杭州,萧山,城河公寓,16100,萧山 - 城厢 - 文化路15号,120.261747,30.166608
7,7,969.4401172,0.005813917,21.40653652,6.536208627,493.7206723,0.003053118,31.98409046,9.519216027,100.8030678,0.018692191,19.82065126,5.162590347,180.1742467,0.012547893,79.36641124,11.09930451,2309.577955,0.014364118,22.15458527,7.32006406,448.8409239,0.002784533,32.60634078,10.3128668,75.77258465,0.013804364,19.85854386,5.39115232,178.082139,0.012743194,77.84228102,12.09172783,946.2632394,0.006369305,23.50018217,7.1346254,515.3516444,0.003286768,43.89239805,10.70131482,51.29136456,0.009701469,24.00787349,6.283824284,143.1960263,0.010489508,73.20138703,11.52286676,1,38,0.5,6165.650341,浙江,杭州,拱墅,重机宿舍,43800,拱墅 - 三塘 - 东新路612号,120.171612,30.316723
8,8,1751.132939,0.00665485,22.39484256,6.319142318,1029.435485,0.004006087,36.23132002,10.06577928,340.7119332,0.040841293,29.05253413,5.654019787,697.3917667,0.027775609,110.6508423,13.36248566,3578.359103,0.013867568,23.35140665,7.222386742,699.0605567,0.002711247,28.739835,10.67912411,230.5630592,0.027601768,34.96248427,5.462014104,721.1092388,0.029016133,116.6033201,13.54648539,1253.119386,0.004839828,25.32535026,7.222805124,971.8763314,0.003785578,49.55816704,10.82402744,202.2290531,0.023945954,26.91444023,6.669474038,511.9198274,0.019854882,113.8905313,12.82396075,1,38,1.2,981.8451314,浙江,杭州,拱墅,凤起路417-512号小区,44800,拱墅 - 武林 - 凤起路417-512号,120.156828,30.26625
9,9,1667.340967,0.006719504,22.03376491,6.236650059,1049.293392,0.00432479,34.91041128,10.33774422,120.8430581,0.017866967,20.77685898,5.438075143,205.9770733,0.011191671,127.6152332,11.4831085,3253.418103,0.013327546,23.46022946,7.26781662,703.9167673,0.002929585,29.22586835,10.5137692,62.921701,0.00864898,31.97746903,5.45359791,138.7164282,0.007566844,160.419732,12.36971171,1211.964073,0.004984891,25.14680136,7.188183791,945.2948907,0.003923098,48.86917625,11.15590603,35.98470707,0.005212367,27.17254718,7.229998228,112.3786524,0.006010507,124.2926461,10.36186132,1,38,0.45,2377.538442,浙江,杭州,西湖,沿山河村,47600,西湖 - 黄龙 - 保俶路201号,120.140572,30.272442
10,10,1664.927795,0.006579923,22.2280688,6.267892695,1036.962793,0.004222949,35.67549991,10.33363527,61.71911451,0.020794041,23.79986622,5.369345238,241.8416726,0.01385154,128.8722284,12.41371183,3301.25331,0.013324892,23.51265111,7.259862764,687.6170597,0.002831118,29.21077695,10.60059588,44.59030302,0.018090169,25.18170116,5.278383081,206.2870504,0.011121167,141.3786958,12.82152464,1207.996407,0.004867979,25.35225635,7.208892477,953.6023834,0.00392751,49.42971991,11.14684188,28.94033737,0.013491201,30.20684987,6.444693987,149.1197285,0.008207333,126.3566932,11.48763402,1,38,0.3,1637.810983,浙江,杭州,西湖,弥陀寺路小区,58613,西湖 - 西湖 - 保俶路,120.145488,30.26681
